StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q2,Q3
2026-04-06 23:28:09,2026-04-06 23:31:21,IP Address,129.22.21.199,100,191,True,2026-04-06 23:31:22,R_5njdKOw72s33843,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Facebook","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Hand-held Flyers,3- Likely,Limited-time offers,$30 - $40,$20 - $30,4- Very likely,,,Sophomore,Male
2026-04-07 00:37:14,2026-04-07 00:41:24,IP Address,129.22.21.200,100,250,True,2026-04-07 00:41:24,R_6g5GwKpybLlXILD,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Crewneck Sweatshirt",Price,Medium,Script/stylized fonts,Very detailed,"School colors (blue, white)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,$40 - $50,$40 - $50,2-  Unlikely,"Maybe if it were to be discounted through purchasing something simpler and lower priced, like a soda or academic materials.",,Freshman,Male
2026-04-07 08:08:00,2026-04-07 08:12:50,IP Address,146.75.129.123,100,289,True,2026-04-07 08:12:50,R_7RqteoRDz2SDgJb,,,,,41.5,-81.6938,anonymous,EN,Undergraduate student,yes,yes,"Hat,T-shirt,Hoodie",Price,Small,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email,University websites,Other",4-6 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$20 - $30,3- Likely,New designs would be interesting and probably a good reason to buy something. Also CWRU 200 merch in the fall.,,Junior,Male
2026-04-06 18:33:37,2026-04-07 11:21:16,IP Address,129.22.21.200,100,60458,True,2026-04-07 11:21:16,R_64vAmLYF38ICPLF,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,"Hat,Crewneck Sweatshirt,Hoodie",Price,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",7-10 times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$10 - $20,2-  Unlikely,,,Freshman,Female
2026-04-07 11:34:35,2026-04-07 11:36:29,IP Address,129.22.21.196,100,113,True,2026-04-07 11:36:29,R_7zGQNlkl6WYOugh,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt,Hoodie,Socks",Style,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok",Email,0-3 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Free giveaways,$50+,$50+,2-  Unlikely,,,Senior,Female
2026-04-07 11:51:16,2026-04-07 11:56:06,IP Address,129.22.21.194,100,290,True,2026-04-07 11:56:07,R_61TwGeP8p7dJnNS,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok",None of the above,7-10 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$20 - $30,1- Very unlikely,Better designs and better prices,,Junior,Female
2026-04-07 11:54:21,2026-04-07 11:56:29,IP Address,129.22.21.198,100,127,True,2026-04-07 11:56:29,R_1LScUgaWaNAxiit,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok",Social media,11+ times per week,Discounts/sales,3- Likely,Residence Halls,Posters,3- Likely,Discounts/sales,$10 - $20,$20 - $30,2-  Unlikely,,,Senior,Female
2026-04-07 11:56:08,2026-04-07 11:59:08,IP Address,129.22.21.198,100,180,True,2026-04-07 11:59:09,R_5TFDfBU31TrSU7o,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,"T-shirt,Long-sleeve shirt,Crewneck Sweatshirt,Hoodie",Style,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok","Social media,Email",7-10 times per week,New apparel announcements,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Free giveaways,$50+,$30 - $40,3- Likely,,,Sophomore,Female
2026-04-07 12:03:25,2026-04-07 12:06:58,IP Address,129.22.21.194,100,213,True,2026-04-07 12:06:58,R_3NCIhu9DOO6ABhX,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Hoodie",Price,Medium,"Thin, minimal lettering",Some detail,"School colors (blue, white)",Either,"Instagram,Tiktok","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$30 - $40,$30 - $40,2-  Unlikely,"If there was a good deal, such as a buy one get one free or something else that lowered the price on an item I liked.",,Junior,Male
2026-04-07 12:06:59,2026-04-07 12:10:07,IP Address,129.22.21.200,100,188,True,2026-04-07 12:10:07,R_1i4LRYSri8vYaTF,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Large,Script/stylized fonts,Very detailed,Pastel colors,In person,Instagram,"Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$50+,3- Likely,,,Freshman,Female
2026-04-07 12:11:27,2026-04-07 12:12:52,IP Address,129.22.21.196,100,85,True,2026-04-07 12:12:53,R_5n0aL2sBMimUGdL,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Style,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,X",Social media,7-10 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Discounts/sales,$50+,$50+,1- Very unlikely,,,Sophomore,Male
2026-04-07 12:11:34,2026-04-07 12:13:56,IP Address,129.22.21.194,100,142,True,2026-04-07 12:13:57,R_7uqxLrL3GUwj5UY,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",Online,Instagram,None of the above,11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Free giveaways,<$10,$50+,1- Very unlikely,,,Freshman,Male
2026-04-07 12:11:41,2026-04-07 12:14:35,IP Address,146.75.129.122,100,173,True,2026-04-07 12:14:35,R_7psQLgLGBneUd2w,,,,,41.5,-81.6938,anonymous,EN,Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Price,Large,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok,X","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$50+,$40 - $50,1- Very unlikely,,,Junior,Male
2026-04-07 12:12:19,2026-04-07 12:14:35,IP Address,129.22.21.198,100,136,True,2026-04-07 12:14:36,R_3KIYyYQLktNXXLH,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,"Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$20 - $30,1- Very unlikely,,,Junior,Male
2026-04-07 12:13:18,2026-04-07 12:15:37,IP Address,198.45.126.91,100,138,True,2026-04-07 12:15:38,R_1Sv6C231KDSGbks,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Comfort,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Posters,2- Unlikely,Limited-time offers,$50+,$30 - $40,1- Very unlikely,,,Senior,Male
2026-04-07 12:16:20,2026-04-07 12:17:13,IP Address,76.35.212.2,100,52,True,2026-04-07 12:17:13,R_57FMqCtiA68ApHz,,,,,41.4722,-81.745,anonymous,EN,Undergraduate student,no,,Scarves,Style,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,None of the above listed,None of the above,11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,,,Freshman,Non-binary
2026-04-07 12:17:15,2026-04-07 12:18:34,IP Address,129.22.21.194,100,78,True,2026-04-07 12:18:34,R_1tqVosnmp8YlsnT,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,4- Very likely,Discounts/sales,$50+,$40 - $50,2-  Unlikely,,,Freshman,Male
2026-04-07 12:17:42,2026-04-07 12:19:04,IP Address,129.22.21.196,100,81,True,2026-04-07 12:19:04,R_7GGKhQMOym3jYu5,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$10 - $20,$10 - $20,3- Likely,,,Sophomore,Male
2026-04-07 12:17:36,2026-04-07 12:20:06,IP Address,172.59.27.37,100,150,True,2026-04-07 12:20:07,R_5gN8VRKONBmvOJe,,,,,41.452,-81.6146,anonymous,EN,Undergraduate student,no,,Hoodie,Price,Large,Script/stylized fonts,Some detail,Pastel colors,Either,Instagram,"Social media,Email",11+ times per week,Discounts/sales,3- Likely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Limited-time offers,$10 - $20,$10 - $20,2-  Unlikely,,,Junior,Male
2026-04-07 12:14:19,2026-04-07 12:20:14,IP Address,192.5.110.5,100,354,True,2026-04-07 12:20:14,R_60DvIdiWclX5Hvp,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Hat,Hoodie",Price,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$30 - $40,2-  Unlikely,,,Junior,Male
2026-04-07 12:24:01,2026-04-07 12:26:07,IP Address,129.22.21.196,100,125,True,2026-04-07 12:26:07,R_7zvU93oR1pUyKwH,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$50+,$50+,3- Likely,,,Sophomore,Male
2026-04-07 13:03:55,2026-04-07 13:07:02,IP Address,104.184.174.83,100,187,True,2026-04-07 13:07:03,R_6CdbYkKt0UubdE9,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,Hoodie,Price,Small,"Thin, minimal lettering",Very detailed,Pastel colors,Online,None of the above listed,None of the above,0-3 times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$30 - $40,1- Very unlikely,,,Senior,Male
2026-04-07 13:25:06,2026-04-07 13:25:20,IP Address,129.22.21.195,100,14,True,2026-04-07 13:25:21,R_5dihhSjveG7pmU9,,,,,41.5066,-81.6111,anonymous,EN,Other,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06 16:26:28,2026-04-07 13:55:56,IP Address,129.22.21.200,100,77367,True,2026-04-07 13:55:56,R_7CHN5d2Mnvtopnf,,,,,41.5053,-81.5566,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Hoodie",Comfort,Medium,"Thin, minimal lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok",University websites,7-10 times per week,Discounts/sales,3- Likely,Residence Halls,Posters,3- Likely,Free giveaways,$10 - $20,$20 - $30,3- Likely,,,Junior,Female
2026-04-07 14:53:20,2026-04-07 14:56:41,IP Address,129.22.21.194,100,200,True,2026-04-07 14:56:41,R_5ho5r7HYfpw38ab,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt",Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$20 - $30,$40 - $50,2-  Unlikely,,,Junior,Female
2026-04-07 15:21:21,2026-04-07 15:26:22,IP Address,129.22.21.194,100,301,True,2026-04-07 15:26:23,R_1wVGbS7VSN7ZcoF,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Style,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$20 - $30,3- Likely,If they stopped making butt ugly millennials designs. They have to cater to the youth. They also need to make comical shirts. I would like more spartie.,,Sophomore,Female
2026-04-07 16:27:31,2026-04-07 16:30:29,IP Address,129.22.21.198,100,178,True,2026-04-07 16:30:30,R_5PpwmHLheCzY3kt,,,,,41.5066,-81.6111,anonymous,EN,Undergraduate student,no,,"Hat,T-shirt,Hoodie",Price,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,1- Very unlikely,,,Sophomore,Male
2026-04-07 17:04:16,2026-04-07 17:06:51,IP Address,76.35.211.80,100,154,True,2026-04-07 17:06:51,R_3fe2Vcs382tzxmt,,,,,41.4722,-81.745,anonymous,EN,Undergraduate student,no,,"T-shirt,Hoodie",Price,Small,Script/stylized fonts,Very detailed,Pastel colors,Either,"Instagram,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$30 - $40,$10 - $20,3- Likely,Lower prices,,Junior,Male
2026-04-07 17:11:37,2026-04-07 17:15:47,IP Address,172.59.26.20,100,249,True,2026-04-07 17:15:47,R_5PZueu5Uff9g8ou,,,,,41.452,-81.6146,anonymous,EN,Undergraduate student,yes,yes,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok","Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Discounts/sales,$30 - $40,$40 - $50,1- Very unlikely,,,Senior,Female
