Q1,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q2,Q3
Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Price,Large,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok,X","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$50+,$40 - $50,1- Very unlikely,,,Junior,Male
Undergraduate student,no,,"Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$20 - $30,1- Very unlikely,,,Junior,Male
Undergraduate student,yes,yes,Hoodie,Comfort,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Posters,2- Unlikely,Limited-time offers,$50+,$30 - $40,1- Very unlikely,,,Senior,Male
Undergraduate student,no,,Scarves,Style,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,None of the above listed,None of the above,11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,,,Freshman,Non-binary
Undergraduate student,no,,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,4- Very likely,Discounts/sales,$50+,$40 - $50,2-  Unlikely,,,Freshman,Male
Undergraduate student,yes,yes,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$10 - $20,$10 - $20,3- Likely,,,Sophomore,Male
Undergraduate student,no,,Hoodie,Price,Large,Script/stylized fonts,Some detail,Pastel colors,Either,Instagram,"Social media,Email",11+ times per week,Discounts/sales,3- Likely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Limited-time offers,$10 - $20,$10 - $20,2-  Unlikely,,,Junior,Male
Undergraduate student,yes,yes,"Hat,Hoodie",Price,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$30 - $40,2-  Unlikely,,,Junior,Male
Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$50+,$50+,3- Likely,,,Sophomore,Male
Undergraduate student,yes,yes,Hoodie,Price,Small,"Thin, minimal lettering",Very detailed,Pastel colors,Online,None of the above listed,None of the above,0-3 times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$30 - $40,1- Very unlikely,,,Senior,Male
Undergraduate student,yes,yes,"T-shirt,Hoodie",Comfort,Medium,"Thin, minimal lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok",University websites,7-10 times per week,Discounts/sales,3- Likely,Residence Halls,Posters,3- Likely,Free giveaways,$10 - $20,$20 - $30,3- Likely,,,Junior,Female
Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt",Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$20 - $30,$40 - $50,2-  Unlikely,,,Junior,Female
Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Style,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$20 - $30,3- Likely,If they stopped making butt ugly millennials designs. They have to cater to the youth. They also need to make comical shirts. I would like more spartie.,,Sophomore,Female
Undergraduate student,no,,"Hat,T-shirt,Hoodie",Price,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,1- Very unlikely,,,Sophomore,Male
Undergraduate student,no,,"T-shirt,Hoodie",Price,Small,Script/stylized fonts,Very detailed,Pastel colors,Either,"Instagram,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$30 - $40,$10 - $20,3- Likely,Lower prices,,Junior,Male
Undergraduate student,yes,yes,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok","Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Discounts/sales,$30 - $40,$40 - $50,1- Very unlikely,,,Senior,Female
Undergraduate student,no,,"T-shirt,Crewneck Sweatshirt,Hoodie",Price,Small,Script/stylized fonts,Very simple,"School colors (blue, white)",Either,"Instagram,Tiktok",Email,4-6 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$10 - $20,1- Very unlikely,,,Junior,Female
Undergraduate student,yes,yes,Crewneck Sweatshirt,Style,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,Instagram,Email,4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$20 - $30,2-  Unlikely,,,Sophomore,Female
Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Medium,"Bold, block lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok",Social media,4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$40 - $50,1- Very unlikely,,,Senior,Female
Undergraduate student,yes,no,"T-shirt,Hoodie",Comfort,Medium,"Bold, block lettering",Some detail,Pastel colors,Online,"Instagram,Tiktok","Social media,University websites",4-6 times per week,Discounts/sales,4- Very likely,Dinings Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,"Offering more discounts and a wider range of styles, including trendy designs, would encourage me to purchase from the bookstore.",Consider expanding size ranges and adding sustainable apparel options.,Junior,Male
Graduate student,yes,no,Crewneck Sweatshirt,Comfort,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",Online,Instagram,"Social media,University websites",7-10 times per week,Student promotions,3- Likely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$10 - $20,4- Very likely,"If there were more sales and unique designs that align with current fashion trends, I'd be more inclined to purchase.",Consider adding more sustainable materials and inclusive sizing options.,Junior,Female
Graduate student,yes,no,"Long-sleeve shirt,Socks",Comfort,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Online,"Instagram,Tiktok","Social media,University websites",4-6 times per week,Discounts/sales,3- Likely,Residence Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,"I would be more inclined to buy clothing if the bookstore offered a wider range of styles, competitive prices, and comfortable materials. Seasonal discounts or limited-edition designs would also make me more interested.",Expanding size options and incorporating more modern designs could improve the selection. Using sustainable fabrics and offering a variety of trending colors might attract more students.,Junior,Non-binary
